Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-May-18,842145,Lovell Partnerships Limited,18422.65,Capital
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,09-May-18,845003,ASW Property Services Limited,4351.15,Capital
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,09-May-18,845003,GKR Maintenance & Building Co. Limited,1987.18,Capital
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,09-May-18,845003,Handicare Accessibility Limited,3841,Capital
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,09-May-18,845003,Prism UK Medical Limited T/A Prism Medical Westholme,7594.25,Capital
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,09-May-18,845003,R & M Williams Limited,1911.72,Capital
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101007,Siemens Financial Services Limited,1045,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101025,Investec Asset Finance Plc,1606.5,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101025,ParentPay Limited,546,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101025,The Consortium for Purchasing and Distribution Limited,592.62,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101025,Timbermart UK Limited,780.44,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101065,Glen Cleaning Company Limited,3047.17,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101134,A & R Contract Cleaning Specialist Limited,1001.17,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101173,A & R Contract Cleaning Specialist Limited,553.02,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101173,Business Gas Limited / Electricity,566.74,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101173,Henry Howard Finance PLC,3240.57,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101173,Lewis James t/a LJ Property Services,3000,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101213,Colorfoto Limited,527,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101213,Ruth Miskin Literacy Limited,500,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101216,Siemens Financial Services Limited,737,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101221,Low Carbon Products Limited t/a British Recycled Plastic,1421.6,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101229,Dwr Cymru Cyf,3151.13,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,10-May-18,101261,Corona Energy Retail 4 Limited,556.96,Revenue
