Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,625.33,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,555.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,538.81,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,721.7,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,589.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,589.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,589.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Northcote Developments Limited,509.51,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Northcote Developments Limited,500.49,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Northcote Developments Limited,508.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Northcote Developments Limited,534.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Northcote Developments Limited,503.14,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Oakville Care Limited t/a Romilly Nursing Home,900,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,576.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,614,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,543.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,512.1,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,The Manor House St Hilary Limited T/A Milsom House,642.99,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,The Manor House St Hilary Limited T/A Milsom House,523.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Waverley Care Centre Limited,505.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Waverley Care Centre Limited,590.32,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Waverley Care Centre Limited,558.56,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Waverley Care Centre Limited,541.69,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Waverley Care Centre Limited,599.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Accomplish Group Limited t/a Cedar House,1381.33,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Amethyst Healthcare Limited t/a Hillstone House,1770.83,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,536.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Care 4 U (Neath) Limited,1754.28,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Crusader Medical Care Limited T/A St Saviours Nursing Home,551.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Leonard Cheshire Disability,970.98,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Middlepatch Limited T/A College Fields Nursing Home,721.7,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Pontcanna Care Limited T/A Ty Llandaff Care Home,795.32,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Valebrook Care Homes Limited,1851.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Voyage 1 Limited t/a Brook Lodge,2528.8,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,216179,Voyage 1 Limited t/a Falcons Rest & Poachers Cottage,1729.64,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Accomplish Group Limited,1822.08,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Accomplish Group Limited,2147.07,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Accomplish Group Limited t/a Cedar House,1585.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Amethyst Healthcare Limited t/a Hillstone House,1681.46,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Amethyst Healthcare Limited t/a Hillstone House,1462.73,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,217909,Glasallt Fawr Camphill Centre,999.82,Revenue
