Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,26-Jun-18,260040,Cardiff County Council,195772,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26-Jun-18,341001,Cardiff County Council,2360,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,26-Jun-18,365802,Cardiff & Vale College,16178.76,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26-Jun-18,100805,New Directions (Education) Limited,655,Revenue,recy
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,26-Jun-18,102632,Apollo Teaching Services Limited,584,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,26-Jun-18,103213,New Directions (Education) Limited,652.5,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,26-Jun-18,103229,Millennium Personnel Services (Education) Limited,625,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,26-Jun-18,103412,Apollo Teaching Services Limited,650,Revenue,recy
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,26-Jun-18,103593,New Directions (Education) Limited,674.9,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,April Complete Care Solutions Limited,584,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,April Complete Care Solutions Limited,548.1,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,April Complete Care Solutions Limited,605.48,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,April Complete Care Solutions Limited,911.56,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,April Complete Care Solutions Limited,866.9,Revenue,recy
DIRECT SOCIAL SERVICES,GF BUSINESS MANAGEMENT & INOVATION,26-Jun-18,239291,Acorn Recruitment Limited,1635.51,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26-Jun-18,323686,Hays Specialist Recruitment Limited,640.64,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26-Jun-18,325681,Hays Specialist Recruitment Limited,1505.25,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,26-Jun-18,407119,Hays Specialist Recruitment Limited,1270.97,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,26-Jun-18,407119,Hays Specialist Recruitment Limited,1575.76,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215486,MHA Care Group t/a Ty Gwyn Private Nursing Home,2907.88,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Abraham Nursing Homes Limited t/a Llantrisant Care Home,938.67,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Baltimore Care Limited,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Baltimore Care Limited,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Baltimore Care Limited,526.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,506.04,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,645.84,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,538.41,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Duffryn Ffrwd Manor Limited,549.49,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,925,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,671.32,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Glamorgan Care Limited t/a Danygraig House,666,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),2985.19,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),653.01,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Harrison Care Enterprises Barry Limited t/a Island View,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Hebron Hall Limited,1478.57,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,June Zehetmayr t/a Tower Hill Residential Home,538.12,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Lakeside Homes Limited T/A Lakeside House,518.82,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,517.8,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,502.23,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,533.5,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,MHA Care Group t/a Morel Court,531.09,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,8609.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,599.54,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,552.58,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,854.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,574.12,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,590.99,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,572.59,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,576.54,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,514.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,567.84,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,612.02,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,512.87,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,614.52,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,559.95,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,567.84,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Middlepatch Limited T/A College Fields Nursing Home,589.85,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Northcote Developments Limited,508.15,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Northcote Developments Limited,515.73,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Oakville Care Limited t/a Romilly Nursing Home,900,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,567.44,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,563.34,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,612.02,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,575.79,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,1405.72,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,615,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,626.5,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,3851.36,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Springbank Care Home Limited T/A Springbank Nursing Home,508.67,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,The Manor House St Hilary Limited T/A Milsom House,642.99,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,The Manor House St Hilary Limited T/A Milsom House,504.17,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,The Manor House St Hilary Limited T/A Milsom House,1559.94,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Waverley Care Centre Limited,500.74,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Waverley Care Centre Limited,585.1,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Waverley Care Centre Limited,675.33,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Waverley Care Centre Limited,519.4,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,215489,Waverley Care Centre Limited,596.49,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Accomplish Group Limited t/a Cedar House,1380.73,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Amethyst Healthcare Limited t/a Hillstone House,1770.23,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,552.23,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Care 4 U (Neath) Limited,1754.28,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Crusader Medical Care Limited T/A St Saviours Nursing Home,551.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Leonard Cheshire Disability,970.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Middlepatch Limited T/A College Fields Nursing Home,621.55,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Middlepatch Limited T/A College Fields Nursing Home,618.34,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Springbank Care Home Limited T/A Springbank Nursing Home,572.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Springbank Care Home Limited T/A Springbank Nursing Home,740,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Valebrook Care Homes Limited,1851.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Voyage 1 Limited t/a Brook Lodge,2528.8,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,216179,Voyage 1 Limited t/a Falcons Rest & Poachers Cottage,1729.64,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Accomplish Group Limited,1821.48,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Accomplish Group Limited,2146.47,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Accomplish Group Limited t/a Cedar House,1582.7,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Amethyst Healthcare Limited t/a Hillstone House,1680.86,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Amethyst Healthcare Limited t/a Hillstone House,1462.13,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Glasallt Fawr Camphill Centre,995.72,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Glasallt Fawr Camphill Centre,1544.9,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Heatherleigh Care Limited t/a 106 Splott Road,1563.71,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Heatherleigh Care Limited t/a 106 Splott Road,1223.14,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Llysywaun Limited t/a Bayview Lodge Nursing Home,1724.9,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Ocean Community Services Limited t/a Westminster Court Care Home,1116.27,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,2112.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,995.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,The Cedars Care Services Limited T/A Oaklands,1030.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,The Cedars Care Services Limited t/a Sycamore House,2026.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,The Cedars Care Services Limited t/a Sycamore House,1809.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,The Cedars Care Services Limited t/a The Cedars,1576.06,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,The Cedars Care Services Limited t/a The Cedars,1365.05,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,The Cedars Care Services Limited t/a The Hollies,1864.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Vale Phoenix Limited,1079.73,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Vale Phoenix Limited,1116.94,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Valebrook Care Homes Limited,1654.39,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Valebrook Care Homes Limited,1999.5,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Valebrook Care Homes Limited,1420.24,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Valebrook Care Homes Limited,1767.35,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Valebrook Care Homes Limited,1861.95,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,217909,Valebrook Care Homes Limited,1390.24,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218321,Adriana Limited T/A The Priory Nursing Home,536,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218321,Hafod Care Association Limited,635.5,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218321,Harrison Care Enterprises Barry Limited t/a Island View,520.91,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218321,Isman & Kinze Nessa T/A Haven House,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218321,J and P Residential Homes Limited T/A Monkstone House,600,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218321,Northcote Developments Limited,559,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218321,Sanda Mitchel & Ptn t/a Canola House Residential Home,578,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218321,Waverley Care Centre Limited,909.98,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218416,Capital Care Homes Limited t/a Danesbrook House,1391.5,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218416,Waverley Care Centre Limited,2901.21,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Anwen Care Limited t/a Anwen Care Home,664,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Baltimore Care Limited,527.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Baltimore Care Limited,505.31,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,696.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Capital Care Homes Limited t/a Danesbrook House,1391.5,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,David Austin t/a Silverdale,663.68,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,E & E Homes Limited T/A Cliffhaven Residential Home,501.05,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,E & E Homes Limited T/A Cliffhaven Residential Home,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,E & E Homes Limited T/A Cliffhaven Residential Home,503.15,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,E & E Homes Limited T/A Cliffhaven Residential Home,505.2,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Forge Care Homes Limited t/a The Forge Care Centre,699.25,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Hallmark Care Homes (Bute Town) Limited t/a Shire Hall Care Home,784.67,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Hallmark Care Homes (Bute Town) Limited t/a Shire Hall Care Home,1215.5,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Harrison Care Enterprises Barry Limited t/a Island View,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Harrison Care Enterprises Barry Limited t/a Island View,501.96,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Harrison Care Enterprises Barry Limited t/a Island View,618,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Harrison Care Enterprises Barry Limited t/a Island View,514.75,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Harrison Care Enterprises Barry Limited t/a Island View,544.81,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Harrison Care Enterprises Barry Limited t/a Island View,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Harrison Care Enterprises Barry Limited t/a Island View,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Harrison Care Enterprises Barry Limited t/a Island View,503.11,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Harrison Care Enterprises Barry Limited t/a Island View,516.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,June Zehetmayr t/a Tower Hill Residential Home,650.88,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,June Zehetmayr t/a Tower Hill Residential Home,518.38,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,June Zehetmayr t/a Tower Hill Residential Home,516.56,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Llangoedmor Properties Limited T/A Parkside Residential Home,734.05,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Llangoedmor Properties Limited T/A Parkside Residential Home,513.83,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Llangoedmor Properties Limited T/A Parkside Residential Home,650.88,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Shirwan Al-Mufti & Ptn t/a Pontcanna House,600,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,The Manor House St Hilary Limited T/A Milsom House,700.33,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Waverley Care Centre Limited,629.59,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Waverley Care Centre Limited,574,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Waverley Care Centre Limited,672.09,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Waverley Care Centre Limited,2901.21,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Jun-18,218419,Waverley Care Centre Limited,514.18,Revenue,Residential Homes
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26-Jun-18,101025,Elwyn J Kerslake t/a Woodland Electrical,816,Revenue,Sole Traders
DIRECT LEARNING AND SKILLS,CATERING,26-Jun-18,150401,Russel Bishop t/a WR Bishop & Co,2450.42,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,26-Jun-18,354037,Ingrid Walker t/a Pyramid Stained Glass,723,Revenue,Sole Traders
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,26-Jun-18,354037,Ingrid Walker t/a Pyramid Stained Glass,-1205,Revenue,Sole Traders
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,26-Jun-18,190055,Cylch Meithrin y Bont-faen,500,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,All Care (South Wales) Limited,810.41,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,All Care (South Wales) Limited,530.96,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,All Care (South Wales) Limited,950.13,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,GJ Care & Training Limited,558.52,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,GJ Care & Training Limited,622.69,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,GJ Care & Training Limited,617.94,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,GJ Care & Training Limited,558.52,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,GJ Care & Training Limited,622.69,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,GJ Care & Training Limited,581.26,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,GJ Care & Training Limited,558.52,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,GJ Care & Training Limited,622.69,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Jun-18,215489,GJ Care & Training Limited,581.26,Revenue,agen
