Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,04-Jun-18,140122,Childcare Vouchers Limited,29786.98,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,212781,Castell Howell Foods Limited,564.13,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,216181,Handicare Accessibility Limited,2016.13,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,216181,Handicare Accessibility Limited,599,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,Everycare (Cardiff) Limited,813.96,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,Everycare (Cardiff) Limited,651.9,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,Everycare (Cardiff) Limited,813.96,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,Everycare (Cardiff) Limited,651.9,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,Merricks Private Transport Contractors Limited,512,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,Merricks Private Transport Contractors Limited,506,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,Merricks Private Transport Contractors Limited,920,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,300600,Eliesha Training Limited,2238.6,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,04-Jun-18,303930,Burner Efficiency Services Limited,1624,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,04-Jun-18,303930,Burner Efficiency Services Limited,571.16,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,04-Jun-18,303931,Hi Tech Industrial Roofing Limited,995,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,04-Jun-18,319010,Euro Commercials (South Wales) Limited,1153.38,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,04-Jun-18,319010,Fleetwheel Limited,1070,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,04-Jun-18,319010,NTM - GB Limited,2327.15,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325338,Calibre Contracting Limited,820.08,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325338,Calibre Contracting Limited,583.27,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325340,Calibre Contracting Limited,1335.69,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325340,Calibre Contracting Limited,738.88,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325340,Calibre Contracting Limited,874.9,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325340,Calibre Contracting Limited,1230.12,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325340,Calibre Contracting Limited,874.91,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325342,Calibre Contracting Limited,1108.34,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325600,Calibre Contracting Limited,1052.7,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325790,Calibre Contracting Limited,985.21,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04-Jun-18,325894,Calibre Contracting Limited,1640.16,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,04-Jun-18,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,2100,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,04-Jun-18,350714,Experian Limited,-1000,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,04-Jun-18,350714,Experian Limited,1000,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04-Jun-18,365786,Cardiff City Transport Services Limited,116919.74,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04-Jun-18,365787,New Adventure Travel Limited,19809,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04-Jun-18,365789,New Adventure Travel Limited,6049.08,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04-Jun-18,365791,Easyway Minicoach Hire Limited,9575,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04-Jun-18,365791,New Adventure Travel Limited,12059,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04-Jun-18,365791,New Adventure Travel Limited,21237.5,Revenue,Companies
